SGS GEOSOL LABORATÃ“RIOS LTDA.;;;;;Final Report;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Client:;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS CPRM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
File Created:;24/07/2020 10:35:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job Number:;GQ2003734;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Number of Samples:;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Project:;"4118.550";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shipment ID:;004/SUREG-SP/2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P.O. Number:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Received:;22/07/2020 08:48:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Method;PREPS80P;PREPS80P;PREPS80P;PREPS80P;PREPS80P;PREPS80P;FAI313;FAI313;FAI313;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B
;;Analyte;Peso_bruto;Peso_inicial;+80#;+80#_P;-80#;-80#_P;Au;Pd;Pt;Ag;Al;As;B;Ba;Be;Bi;Ca;Cd;Ce;Co;Cr;Cs;Cu;Fe;Ga;Ge;Hf;Hg;In;K;La;Li;Lu;Mg;Mn;Mo;Na;Nb;Ni;P;Pb;Rb;Re;S;Sb;Sc;Se;Sn;Sr;Ta;Tb;Te;Th;Ti;Tl;U;V;W;Y;Yb;Zn;Zr
;;Unit;g;g;g;%;g;%;ppb;ppb;ppb;ppm;%;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;%;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm
;;MDL;0;0;1;0,01;1;0,01;10;10;10;0,01;0,01;1;10;5;0,1;0,02;0,01;0,01;0,05;0,1;1;0,05;0,5;0,01;0,1;0,1;0,05;0,01;0,02;0,01;0,1;1;0,01;0,01;5;0,05;0,01;0,05;0,5;50;0,2;0,2;0,1;0,01;0,05;0,1;1;0,3;0,5;0,05;0,02;0,05;0,1;0,01;0,02;0,05;1;0,1;0,05;0,1;1;0,5
Sample;;Type;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRANCO_PREP;;BRANCO_PREP;NA;NA;NA;NA;NA;NA;<10;<10;<10;0,02;<0,01;<1;<10;<5;<0,1;<0,02;<0,01;<0,01;0,64;0,5;8;<0,05;1,8;0,81;0,3;<0,1;<0,05;<0,01;<0,02;<0,01;0,3;<1;<0,01;<0,01;219;1,35;<0,01;0,38;5,4;<50;<0,2;<0,2;<0,1;<0,01;0,08;<0,1;<1;<0,3;3,7;<0,05;<0,02;<0,05;0,2;<0,01;<0,02;<0,05;<1;0,2;0,06;<0,1;<1;0,7
ICP628;;SEDIMENTO CORRENTE;2220;1750;1543;88,73;196;11,27;147;<10;<10;<0,01;0,52;4;<10;82;1,3;0,11;0,06;0,02;41,14;2,3;4;1,12;6,9;1,03;2,3;<0,1;0,09;0,01;<0,02;0,09;23,8;3;0,15;0,04;230;0,71;0,03;2,97;2,5;156;19;9;<0,1;0,01;0,22;0,9;<1;1,1;20,3;<0,05;0,57;<0,05;22,8;0,02;0,07;2,66;10;0,6;15,38;1,1;22;4,4
ICP629;;SEDIMENTO CORRENTE;1860;1490;1469;98,69;20;1,31;I.S.;I.S.;I.S.;<0,01;0,36;1;<10;97;0,6;0,16;0,07;0,1;60,89;3,3;25;0,63;6,1;2,55;1,4;<0,1;0,2;<0,01;<0,02;0,09;29,2;2;0,1;0,06;477;0,5;0,02;1,07;8,2;164;12,3;7;<0,1;<0,01;0,27;1,4;<1;0,8;8,3;<0,05;0,4;<0,05;14,4;0,04;0,05;1,44;37;0,3;8,23;0,7;14;13,1
ICP630;;SEDIMENTO CORRENTE;1970;1570;1538;98,21;28;1,79;I.S.;I.S.;I.S.;<0,01;0,47;2;<10;113;0,6;0,1;0,09;0,07;29,6;2,9;17;0,65;7,6;1,6;1,6;<0,1;0,08;<0,01;<0,02;0,13;14,6;4;0,06;0,08;332;0,39;0,03;1,06;6,4;193;9,9;9;<0,1;<0,01;0,18;1,1;<1;0,8;12,6;<0,05;0,23;<0,05;5,6;0,02;0,06;0,75;18;0,2;5,31;0,4;18;5
ICP631;;SEDIMENTO CORRENTE;2220;1725;1615;93,79;107;6,21;75;<10;<10;0,32;1,97;47;<10;341;2;5,24;0,39;0,09;63,14;18,4;51;4,15;78,1;3,82;7,5;<0,1;0,1;0,09;0,03;0,2;36,5;23;0,14;0,55;755;0,79;0,02;1,17;25,6;635;48,2;24;<0,1;0,01;3,9;4,8;<1;1,1;88,9;<0,05;0,68;0,07;5,4;0,06;0,2;2,44;68;0,7;15,72;1;74;5,1
ICP632;;SEDIMENTO CORRENTE;2500;1960;1868;95,75;83;4,26;I.S.;I.S.;I.S.;<0,01;1,25;5;<10;189;0,8;0,11;0,3;0,14;40,16;20,4;60;0,86;19,4;4,47;4,6;<0,1;0,14;0,01;0,02;0,14;20;10;0,1;0,32;791;0,55;0,03;0,83;27;521;14,1;10,8;<0,1;0,01;0,44;4,9;<1;0,8;21,3;<0,05;0,41;<0,05;3,8;0,07;0,07;0,76;84;0,2;9,59;0,7;50;7,3
ICP633;;SEDIMENTO CORRENTE;2250;1803;1580;87,78;220;12,22;<10;<10;<10;<0,01;1,48;23;<10;215;2,1;0,38;0,34;0,09;71,12;13;74;3;47;3,1;6,6;<0,1;0,12;0,02;0,03;0,15;43,7;14;0,2;0,44;640;1,39;0,02;2,1;24,5;811;45,7;20,9;<0,1;0,01;2,09;3,8;<1;1,7;58,1;<0,05;0,89;0,07;12,1;0,09;0,16;3,38;55;2,1;22,93;1,4;59;5
ICP634;;SEDIMENTO CORRENTE;2460;1890;1688;89,38;201;10,62;<10;<10;<10;<0,01;1,5;6;<10;163;2,1;0,12;0,59;0,06;83,81;15,6;110;3,64;25;3,01;5,8;<0,1;0,29;0,02;0,03;0,32;45,5;19;0,21;0,72;315;0,85;0,04;2,55;68,7;1656;9,6;49,1;<0,1;<0,01;0,34;4,9;<1;1,4;62,3;<0,05;0,95;<0,05;18,4;0,18;0,24;6,09;61;1;23,55;1,5;55;8,1
ICP635;;SEDIMENTO CORRENTE;2450;1854;1654;89,6;192;10,4;<10;<10;<10;<0,01;1,02;12;<10;134;1,4;0,31;0,23;0,05;41,62;10,5;55;3,01;14,4;2,84;4,2;<0,1;0,08;0,03;<0,02;0,16;23,1;19;0,06;0,39;449;0,46;0,03;1,48;27,8;668;24,8;16,1;<0,1;<0,01;1,63;2,5;<1;1,2;22,4;<0,05;0,35;<0,05;4,7;0,06;0,11;1,43;46;0,6;7,05;0,4;44;3,1
ICP636;;SEDIMENTO CORRENTE;2500;1880;1685;89,6;196;10,4;<10;<10;<10;<0,01;1,06;12;<10;135;1,5;0,3;0,23;0,04;41,37;10,6;54;2,86;14,8;2,71;4,4;<0,1;0,08;0,03;<0,02;0,17;23,2;21;0,06;0,39;426;0,42;0,03;1,36;27,8;682;23,9;16,9;<0,1;<0,01;1,57;2,6;<1;1,2;22,9;<0,05;0,34;<0,05;4,5;0,06;0,12;1,48;45;0,6;7,26;0,4;47;3,5
ICP637;;SEDIMENTO CORRENTE;2170;1860;1622;87,35;235;12,66;13;<10;<10;<0,01;0,83;9;<10;106;1,3;0,18;0,47;0,04;65,32;10,1;72;2,14;22,7;2,13;3,4;<0,1;0,3;<0,01;<0,02;0,14;34,1;7;0,15;0,36;388;0,68;0,04;3,39;32,1;1539;12,9;16,9;<0,1;<0,01;0,47;2,7;<1;1,4;37,1;<0,05;0,68;<0,05;24,5;0,22;0,11;3,29;42;1,8;16,52;1,1;35;14,1
ICP638;;SEDIMENTO CORRENTE;2440;2030;1590;78,33;440;21,68;<10;<10;<10;<0,01;0,61;6;<10;87;0,6;0,1;0,14;0,03;24,27;5,6;23;1,16;6,6;1,36;2,2;<0,1;0,07;0,02;<0,02;0,1;10,6;10;0,05;0,22;308;0,21;0,03;0,57;10;253;8,3;8;<0,1;<0,01;0,46;1,6;<1;0,5;12;<0,05;0,22;<0,05;2,8;0,02;0,06;0,43;22;0,2;5,33;0,3;21;3,2
ICP639;;SEDIMENTO CORRENTE;2070;1594;1493;93,75;100;6,25;I.S.;I.S.;I.S.;<0,01;1,81;6;<10;432;1,2;0,14;0,81;0,09;60,92;22,6;51;1,06;36,4;4,84;6,1;<0,1;0,16;0,02;0,03;0,2;27,4;19;0,16;0,6;1139;0,61;0,03;1,51;29,9;777;13,9;15,5;<0,1;0,02;0,37;7,3;<1;0,8;27,7;<0,05;0,65;<0,05;5,2;0,06;0,1;0,9;78;0,1;16,32;1,2;59;7,4
ICP640;;SEDIMENTO CORRENTE;2310;1740;1642;94,97;87;5,03;I.S.;I.S.;I.S.;<0,01;2,86;4;<10;256;0,8;0,09;0,85;0,22;39;48,9;143;1,11;77,4;6,57;9,3;<0,1;0,3;0,02;0,04;0,1;17;18;0,18;1,15;1456;0,37;0,02;0,91;58,6;624;14,7;11,1;<0,1;0,01;0,24;16,1;<1;0,6;34,9;<0,05;0,51;<0,05;2,3;0,19;0,09;0,47;173;<0,1;15,07;1,2;88;13
ICP641;;SEDIMENTO CORRENTE;2200;1660;1361;81,99;299;18,01;<10;<10;<10;<0,01;1,32;12;<10;195;1,1;0,24;0,33;0,06;43,07;13,6;82;2,53;24,2;2,51;5,2;<0,1;0,1;0,01;<0,02;0,12;24,1;11;0,1;0,72;486;0,44;0,04;1,14;45,3;515;17,4;14;<0,1;<0,01;0,9;4;<1;0,9;49,5;<0,05;0,42;<0,05;6,1;0,05;0,1;1,51;43;0,4;10,06;0,7;43;3,7
ICP642;;SEDIMENTO CORRENTE;2360;1865;1611;86,49;252;13,51;<10;<10;<10;<0,01;0,55;2;<10;122;0,4;0,07;0,12;0,05;27,02;4,4;14;0,69;4,9;1,06;1,9;<0,1;0,05;0,01;<0,02;0,08;14,6;6;0,05;0,14;242;0,2;0,04;0,47;7,2;235;6;8;<0,1;<0,01;0,16;1,4;<1;0,3;13,7;<0,05;0,25;<0,05;2,4;0,02;0,06;0,45;13;0,1;5,78;0,4;23;2,4
ICP643;;SEDIMENTO CORRENTE;2180;1645;1305;79,79;331;20,21;<10;<10;<10;<0,01;1,38;17;<10;268;1,2;0,16;0,35;0,05;53,12;16,3;56;3,35;34,7;3,08;5,2;<0,1;0,17;0,04;0,02;0,14;30;11;0,07;0,47;729;0,22;0,04;0,6;23,9;694;22;14,8;<0,1;<0,01;1,08;4,1;<1;0,9;57,8;<0,05;0,38;<0,05;5,2;0,07;0,12;1,33;62;0,2;8,35;0,5;54;7,8
ICP644;;SEDIMENTO CORRENTE;2320;1755;1657;94,44;98;5,56;I.S.;I.S.;I.S.;<0,01;1,38;6;<10;148;0,8;0,11;0,19;0,16;31,75;19,6;46;0,92;27,6;4,27;4,8;<0,1;0,1;<0,01;0,02;0,15;15,7;13;0,09;0,31;646;0,64;0,02;0,58;31,8;417;12,9;11,6;<0,1;<0,01;0,31;4,7;<1;0,5;15,2;<0,05;0,36;<0,05;2,9;0,04;0,08;0,54;60;0,1;7,67;0,6;65;5,6
ICP645;;SEDIMENTO CORRENTE;2170;1645;1616;98,48;25;1,52;I.S.;I.S.;I.S.;<0,01;1,36;10;<10;352;1,3;0,11;0,34;0,25;69,18;16,8;64;1,45;17,5;3,73;4,2;<0,1;0,17;0,05;0,02;0,24;35;11;0,08;0,41;742;0,47;0,05;1,13;40,2;851;15,2;15,1;<0,1;<0,01;1,33;4,5;<1;0,8;51,7;<0,05;0,48;<0,05;5,7;0,05;0,09;1,19;59;0,2;9,42;0,6;42;9,2
ICP646;;SEDIMENTO CORRENTE;2010;1610;1532;95,33;75;4,67;I.S.;I.S.;I.S.;<0,01;0,76;2;<10;76;1,9;0,16;0,06;0,05;64,62;2;8;1,32;4,1;0,89;2,7;<0,1;0,11;0,01;<0,02;0,13;38,2;6;0,24;0,05;221;0,42;0,03;6,81;3,8;125;14,1;14,1;<0,1;0,01;0,19;1,4;<1;1,1;12,5;<0,05;0,75;<0,05;19,8;0,02;0,11;3,25;11;0,5;20,58;1,7;18;4,4
ICP647;;SEDIMENTO CORRENTE;2630;2040;1625;80,01;406;19,99;<10;<10;<10;<0,01;0,54;1;<10;41;0,9;0,2;0,03;0,02;46,6;0,8;4;1,05;2,6;0,72;2,2;<0,1;0,12;<0,01;<0,02;0,08;26,6;4;0,21;0,02;94;0,39;0,02;8,12;2;81;13,3;11,1;<0,1;<0,01;0,12;1,1;<1;1,4;4,6;<0,05;0,54;<0,05;21,1;0,03;0,09;2,33;11;1;16,89;1,4;12;5,2
ICP648;;SEDIMENTO CORRENTE;2620;2000;1766;88,46;231;11,55;11;<10;<10;0,06;0,69;13;<10;83;1,7;1,58;0,09;0,03;44,74;4,1;14;1,95;31,4;1,63;3,5;<0,1;0,14;0,03;0,02;0,12;27,5;5;0,15;0,09;279;1,34;0,04;2,97;6,1;244;26,9;13,4;<0,1;<0,01;0,54;1,3;<1;1,5;29,7;<0,05;0,6;<0,05;24,1;0,05;0,1;3,5;26;1,7;15,05;1,1;30;6,5
ICP649;;SEDIMENTO CORRENTE;1980;1503;1393;92,86;107;7,14;I.S.;I.S.;I.S.;<0,01;2,83;6;<10;325;1,1;0,09;0,83;0,23;59,45;34,4;86;2,56;60,3;6,53;9,7;<0,1;0,29;0,01;0,04;0,13;29,8;27;0,25;0,84;1176;0,41;0,03;1,14;40,4;1177;24,6;14,9;<0,1;<0,01;0,15;15,3;<1;0,9;50,8;<0,05;0,82;<0,05;3,4;0,17;0,12;0,65;157;<0,1;23,73;1,7;118;12,2
